id;Название;Артикул;Производитель;Количество;Цена
3;Тормозной сервопривод;47642;Nissan;13;8617.0
10;Тормозная жидкость;36557;Peugeot;17;9843.0
11;Тормозная накладка заднего хода;74690;Rolls-Royce;19;9264.0
18;Тормозной диск;83943;Peugeot;10;5637.0
19;Тормозной поршень;26968;БелАЗ;19;4411.0
25;Тормозной диск;23983;PAZ;6;5777.0
29;Канал охлаждения тормозов;16575;Opel;19;6936.0
41;Тормозной барабан;64055;Opel;25;6287.0
56;Тормозной сервопривод;73973;Lexus;5;6036.0
61;Канал охлаждения тормозов;52818;PAZ;22;5603.0
71;Тормозной поршень;50448;Lexus;7;1516.0
84;Тормозной сервопривод;25689;Mercedes-Benz;12;6790.0
85;Тормозная накладка заднего хода;57726;УАЗ;4;2225.0
94;Тормозной диск;23292;Ferrari;15;4335.0
106;Тормозная колодка;63733;Subaru;24;712.0
110;Тормозная накладка заднего хода;24528;Subaru;10;6439.0
140;Тормозная накладка;51340;Subaru;7;4271.0
148;Тормозной крен;51443;Renault;3;5544.0
172;Канал охлаждения тормозов;33358;Volvo;9;3240.0
179;Тормозной крен;41669;Opel;9;1691.0
185;Тормозной крен;65250;Porsche;9;833.0
193;Тормозная колодка;85977;БелАЗ;25;5610.0
198;Тормозной поршень;26135;Maserati;8;4653.0
